Log Cluster: ID_20251013_135832_746677
------------------------------------------------
SETTINGS:
Minimum Confidence: 0.15
Minimum Area: 200
Aspect Ratio Range: 0.15 - 10.0
Frame Resolution: 600 x 1020
------------------------------------------------
ID: 109 | frame: 327 | start: 2025-10-13 14:01:59.521 | end: 2025-10-13 14:01:59.525 | process: 0.005s | people detected: 2
ID: 110 | frame: 330 | start: 2025-10-13 14:02:01.457 | end: 2025-10-13 14:02:01.462 | process: 0.005s | people detected: 2
ID: 111 | frame: 333 | start: 2025-10-13 14:02:03.278 | end: 2025-10-13 14:02:03.283 | process: 0.005s | people detected: 2
ID: 112 | frame: 336 | start: 2025-10-13 14:02:05.088 | end: 2025-10-13 14:02:05.094 | process: 0.006s | people detected: 2
ID: 113 | frame: 339 | start: 2025-10-13 14:02:06.984 | end: 2025-10-13 14:02:06.992 | process: 0.008s | people detected: 3
ID: 114 | frame: 342 | start: 2025-10-13 14:02:08.817 | end: 2025-10-13 14:02:08.821 | process: 0.004s | people detected: 3
ID: 115 | frame: 345 | start: 2025-10-13 14:02:10.702 | end: 2025-10-13 14:02:10.708 | process: 0.006s | people detected: 3
ID: 116 | frame: 348 | start: 2025-10-13 14:02:12.533 | end: 2025-10-13 14:02:12.537 | process: 0.004s | people detected: 2
ID: 117 | frame: 351 | start: 2025-10-13 14:02:14.263 | end: 2025-10-13 14:02:14.269 | process: 0.006s | people detected: 2
ID: 118 | frame: 354 | start: 2025-10-13 14:02:16.238 | end: 2025-10-13 14:02:16.242 | process: 0.004s | people detected: 2
ID: 119 | frame: 357 | start: 2025-10-13 14:02:18.092 | end: 2025-10-13 14:02:18.096 | process: 0.004s | people detected: 2
ID: 120 | frame: 360 | start: 2025-10-13 14:02:19.921 | end: 2025-10-13 14:02:19.926 | process: 0.005s | people detected: 2
ID: 121 | frame: 363 | start: 2025-10-13 14:02:21.686 | end: 2025-10-13 14:02:21.691 | process: 0.004s | people detected: 1
ID: 122 | frame: 366 | start: 2025-10-13 14:02:23.499 | end: 2025-10-13 14:02:23.504 | process: 0.005s | people detected: 1
ID: 123 | frame: 369 | start: 2025-10-13 14:02:25.294 | end: 2025-10-13 14:02:25.298 | process: 0.004s | people detected: 1
ID: 124 | frame: 372 | start: 2025-10-13 14:02:27.148 | end: 2025-10-13 14:02:27.152 | process: 0.004s | people detected: 1
ID: 125 | frame: 375 | start: 2025-10-13 14:02:29.024 | end: 2025-10-13 14:02:29.028 | process: 0.004s | people detected: 1
ID: 126 | frame: 378 | start: 2025-10-13 14:02:31.003 | end: 2025-10-13 14:02:31.008 | process: 0.006s | people detected: 2
ID: 127 | frame: 381 | start: 2025-10-13 14:02:32.889 | end: 2025-10-13 14:02:32.894 | process: 0.005s | people detected: 3
ID: 128 | frame: 384 | start: 2025-10-13 14:02:34.718 | end: 2025-10-13 14:02:34.722 | process: 0.004s | people detected: 3
ID: 129 | frame: 387 | start: 2025-10-13 14:02:36.591 | end: 2025-10-13 14:02:36.596 | process: 0.004s | people detected: 2
ID: 130 | frame: 390 | start: 2025-10-13 14:02:38.440 | end: 2025-10-13 14:02:38.447 | process: 0.007s | people detected: 2
ID: 131 | frame: 393 | start: 2025-10-13 14:02:40.239 | end: 2025-10-13 14:02:40.245 | process: 0.006s | people detected: 2
ID: 132 | frame: 396 | start: 2025-10-13 14:02:42.040 | end: 2025-10-13 14:02:42.045 | process: 0.004s | people detected: 1
ID: 133 | frame: 399 | start: 2025-10-13 14:02:43.959 | end: 2025-10-13 14:02:43.963 | process: 0.004s | people detected: 2
ID: 134 | frame: 402 | start: 2025-10-13 14:02:45.842 | end: 2025-10-13 14:02:45.848 | process: 0.006s | people detected: 2
ID: 135 | frame: 405 | start: 2025-10-13 14:02:47.816 | end: 2025-10-13 14:02:47.821 | process: 0.006s | people detected: 2
ID: 136 | frame: 408 | start: 2025-10-13 14:02:49.681 | end: 2025-10-13 14:02:49.686 | process: 0.004s | people detected: 2
ID: 137 | frame: 411 | start: 2025-10-13 14:02:51.534 | end: 2025-10-13 14:02:51.538 | process: 0.004s | people detected: 2
ID: 138 | frame: 414 | start: 2025-10-13 14:02:53.405 | end: 2025-10-13 14:02:53.411 | process: 0.006s | people detected: 3
ID: 139 | frame: 417 | start: 2025-10-13 14:02:55.251 | end: 2025-10-13 14:02:55.255 | process: 0.004s | people detected: 2
ID: 140 | frame: 420 | start: 2025-10-13 14:02:57.011 | end: 2025-10-13 14:02:57.016 | process: 0.004s | people detected: 2
ID: 141 | frame: 423 | start: 2025-10-13 14:02:58.780 | end: 2025-10-13 14:02:58.786 | process: 0.007s | people detected: 1
ID: 142 | frame: 426 | start: 2025-10-13 14:03:00.643 | end: 2025-10-13 14:03:00.649 | process: 0.006s | people detected: 3
ID: 143 | frame: 429 | start: 2025-10-13 14:03:02.531 | end: 2025-10-13 14:03:02.537 | process: 0.007s | people detected: 2
ID: 144 | frame: 432 | start: 2025-10-13 14:03:04.375 | end: 2025-10-13 14:03:04.380 | process: 0.004s | people detected: 3
ID: 145 | frame: 435 | start: 2025-10-13 14:03:06.179 | end: 2025-10-13 14:03:06.185 | process: 0.005s | people detected: 2
ID: 146 | frame: 438 | start: 2025-10-13 14:03:08.008 | end: 2025-10-13 14:03:08.013 | process: 0.005s | people detected: 2
ID: 147 | frame: 441 | start: 2025-10-13 14:03:09.819 | end: 2025-10-13 14:03:09.826 | process: 0.006s | people detected: 3
ID: 148 | frame: 444 | start: 2025-10-13 14:03:11.759 | end: 2025-10-13 14:03:11.763 | process: 0.004s | people detected: 4
ID: 149 | frame: 447 | start: 2025-10-13 14:03:13.539 | end: 2025-10-13 14:03:13.544 | process: 0.004s | people detected: 2
ID: 150 | frame: 450 | start: 2025-10-13 14:03:15.317 | end: 2025-10-13 14:03:15.323 | process: 0.006s | people detected: 1
ID: 151 | frame: 453 | start: 2025-10-13 14:03:17.087 | end: 2025-10-13 14:03:17.092 | process: 0.006s | people detected: 2
ID: 152 | frame: 456 | start: 2025-10-13 14:03:18.891 | end: 2025-10-13 14:03:18.895 | process: 0.004s | people detected: 2
